,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
3739,227426_PM_at,0.000133,9.08e-06,-4.91,2.9847200000000003,-0.528,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1
2763,209276_s_at,0.00018,9.08e-06,-4.8,3.195519,-0.777,GLRX,glutaredoxin
3741,204862_PM_s_at,0.000133,9.1e-06,4.9,2.9817400000000003,0.629,NME3,NME/NM23 nucleoside diphosphate kinase 3
3740,208885_PM_at,0.000133,9.1e-06,-4.91,2.98218,-0.36,LCP1,lymphocyte cytosolic protein 1
354,ILMN_1786065,0.00121,9.11e-06,-4.8960963,3.4135940000000002,-0.444,UHRF1,ubiquitin like with PHD and ring finger domains 1
3742,239774_PM_at,0.000133,9.11e-06,-4.9,2.98122,-0.281,,
292,203593_at,0.0017,9.12e-06,-5.532557700000001,3.60082104,-1.1712108,CD2AP,CD2 associated protein
2764,202546_at,0.00018,9.13e-06,-4.79,3.190457,-0.621,VAMP8,vesicle associated membrane protein 8
3743,1554016_PM_a_at,0.000133,9.13e-06,-4.9,2.9792099999999997,-0.608,USB1,U6 snRNA biogenesis phosphodiesterase 1
3744,201336_PM_at,0.000133,9.13e-06,4.9,2.97906,0.5539999999999999,VAMP3,vesicle associated membrane protein 3
3745,230354_PM_at,0.000134,9.15e-06,-4.9,2.97676,-1.28,,
2765,1565913_at,0.000181,9.16e-06,-4.79,3.186815,-0.596,,
3747,225353_PM_s_at,0.000134,9.17e-06,-4.9,2.9740900000000003,-0.23600000000000002,C1QC,complement C1q C chain
3746,220765_PM_s_at,0.000134,9.17e-06,-4.9,2.97514,-0.48,LIMS2,LIM zinc finger domain containing 2
3748,202653_PM_s_at,0.000134,9.18e-06,-4.9,2.9738,-0.503,7-Mar,membrane associated ring-CH-type finger 7
2766,203030_s_at,0.000181,9.18e-06,-4.79,3.185087,-0.47200000000000003,PTPRN2,"protein tyrosine phosphatase, receptor type N2"
3749,1564547_PM_x_at,0.000134,9.18e-06,-4.9,2.97326,-0.769,,
355,ILMN_2374249,0.00122,9.18e-06,4.8939047,3.4063589999999997,0.529,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
675,203683_s_at,0.000303,9.19e-06,-5.123455,3.4162601,-0.800871,VEGFB,vascular endothelial growth factor B
2768,204571_x_at,0.000182,9.2e-06,-4.79,3.182757,-0.406,PIN4,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
3750,1557118_PM_a_at,0.000134,9.2e-06,-4.9,2.97179,-0.5660000000000001,INTS6-AS1,INTS6 antisense RNA 1
2767,225456_at,0.000182,9.2e-06,4.79,3.182851,0.34299999999999997,MED1,mediator complex subunit 1
2769,235401_s_at,0.000182,9.22e-06,4.79,3.181274,0.76,FCRLA,Fc receptor like A
293,232195_at,0.0017100000000000001,9.22e-06,5.528633599999999,3.59121081,2.23345802,GPR158,G protein-coupled receptor 158
677,212724_at,0.000304,9.24e-06,-5.1215269999999995,3.4104886,-0.9660854999999999,RND3,Rho family GTPase 3
3751,224516_PM_s_at,0.000135,9.24e-06,4.9,2.96671,0.6609999999999999,CXXC5,CXXC finger protein 5
676,204789_at,0.000304,9.24e-06,5.121745,3.4111419,0.6956304,FMNL1,formin like 1
2770,1562367_at,0.000182,9.24e-06,4.79,3.178355,0.344,C15orf54,chromosome 15 open reading frame 54
3752,206366_PM_x_at,0.000135,9.25e-06,4.9,2.9666200000000003,1.08,XCL1,X-C motif chemokine ligand 1
3753,243149_PM_at,0.000135,9.25e-06,4.9,2.96635,0.47200000000000003,,
678,220177_s_at,0.000304,9.25e-06,-5.121199,3.4095068,-0.8150751,TMPRSS3,"transmembrane protease, serine 3"
3754,231128_PM_at,0.000135,9.26e-06,-4.9,2.965,-0.203,FAM181B,family with sequence similarity 181 member B
3755,208708_PM_x_at,0.000135,9.27e-06,4.9,2.9643,0.562,EIF5,eukaryotic translation initiation factor 5
294,224723_x_at,0.00172,9.27e-06,-5.5263231,3.58555196,-0.69498228,LINC00998,long intergenic non-protein coding RNA 998
679,206272_at,0.000304,9.28e-06,-5.120297,3.4068072999999996,-0.7114397,SPHAR///RAB4A,"S-phase response (cyclin related)///RAB4A, member RAS oncogene family"
3756,235985_PM_at,0.000135,9.3e-06,-4.9,2.96124,-0.441,,
356,ILMN_1788961,0.00124,9.33e-06,-4.8893731,3.391402,-0.284,PPP2R2A,protein phosphatase 2 regulatory subunit Balpha
3757,220144_PM_s_at,0.000136,9.34e-06,4.9,2.95654,0.349,ANKEF1,ankyrin repeat and EF-hand domain containing 1
3758,225389_PM_at,0.000136,9.35e-06,-4.9,2.95582,-0.628,BTBD6,BTB domain containing 6
3759,206590_PM_x_at,0.000136,9.35e-06,-4.9,2.95552,-0.48100000000000004,DRD2,dopamine receptor D2
680,212814_at,0.000306,9.35e-06,-5.117911,3.3996679,-0.5167277,AHCYL2,adenosylhomocysteinase like 2
681,205525_at,0.000306,9.36e-06,-5.117521,3.3984996,-1.2777546,CALD1,caldesmon 1
3760,205931_PM_s_at,0.000136,9.36e-06,-4.9,2.9548900000000002,-0.958,CREB5,cAMP responsive element binding protein 5
2771,1553928_at,0.000185,9.37e-06,-4.79,3.165076,-0.701,ELMOD2,ELMO domain containing 2
682,218369_s_at,0.000306,9.37e-06,-5.117063,3.3971292,-2.0714933999999996,EXOSC1,exosome component 1
3761,210031_PM_at,0.000136,9.37e-06,4.9,2.9538,0.85,CD247,CD247 molecule
3762,235244_PM_at,0.000136,9.38e-06,4.9,2.95302,0.993,CCDC58,coiled-coil domain containing 58
357,ILMN_1720857,0.00124,9.38e-06,4.8876800000000005,3.385815,0.5429999999999999,GUSBP2,"glucuronidase, beta pseudogene 2"
2772,240142_at,0.000185,9.39e-06,-4.79,3.163128,-0.35,LOC101929289,uncharacterized LOC101929289
3763,1569512_PM_at,0.00013700000000000002,9.4e-06,-4.9,2.9504900000000003,-0.885,SVIL,supervillin
3764,226160_PM_at,0.00013700000000000002,9.41e-06,-4.9,2.94992,-0.7490000000000001,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
2773,226797_at,0.00018600000000000002,9.43e-06,4.78,3.1590380000000002,0.42,MBTD1,mbt domain containing 1
295,203444_s_at,0.0017399999999999998,9.43e-06,-5.519647,3.56919885,-1.22875162,MTA2,metastasis associated 1 family member 2
2774,1558518_at,0.00018600000000000002,9.45e-06,-4.78,3.157197,-0.335,TAB3,TGF-beta activated kinase 1/MAP3K7 binding protein 3
2776,219336_s_at,0.00018600000000000002,9.46e-06,-4.78,3.155725,-0.37200000000000005,ASCC1,activating signal cointegrator 1 complex subunit 1
2775,216224_s_at,0.00018600000000000002,9.46e-06,4.78,3.156302,0.34,HDAC6,histone deacetylase 6
3765,212117_PM_at,0.000138,9.47e-06,4.89,2.9437,0.46299999999999997,RHOQ,ras homolog family member Q
2777,210926_at,0.00018600000000000002,9.47e-06,4.78,3.154946,0.379,POTEKP,"POTE ankyrin domain family member K, pseudogene"
683,221096_s_at,0.000309,9.48e-06,-5.113243,3.3856976999999997,-0.806933,TMCO6,transmembrane and coiled-coil domains 6
3766,230938_PM_x_at,0.000138,9.48e-06,-4.89,2.94203,-0.49200000000000005,ATF5,activating transcription factor 5
2778,216121_at,0.00018600000000000002,9.48e-06,4.78,3.15433,0.267,,
3767,203716_PM_s_at,0.000138,9.49e-06,4.89,2.94096,0.508,DPP4,dipeptidyl peptidase 4
2779,1559132_at,0.00018700000000000002,9.49e-06,-4.78,3.15367,-0.284,TMEM80,transmembrane protein 80
2780,242993_at,0.00018700000000000002,9.49e-06,-4.78,3.153555,-0.32299999999999995,,
2781,224562_at,0.00018700000000000002,9.5e-06,4.78,3.152427,0.255,WASF2,WAS protein family member 2
358,ILMN_2367070,0.00125,9.5e-06,-4.8841635000000005,3.374214,-0.47700000000000004,ACOT9,acyl-CoA thioesterase 9
3768,212641_PM_at,0.000138,9.51e-06,4.89,2.93972,0.621,HIVEP2,human immunodeficiency virus type I enhancer binding protein 2
2783,209012_at,0.00018700000000000002,9.52e-06,4.78,3.149848,0.32,TRIO,trio Rho guanine nucleotide exchange factor
2782,201754_at,0.00018700000000000002,9.52e-06,-4.78,3.150243,-1.03,COX6C,cytochrome c oxidase subunit 6C
684,220583_at,0.00031,9.54e-06,-5.111529,3.3805682999999997,-0.9346928,,
2784,232363_at,0.00018700000000000002,9.55e-06,-4.78,3.147355,-0.395,,
3769,221494_PM_x_at,0.000139,9.55e-06,4.89,2.93507,0.53,EIF3K,eukaryotic translation initiation factor 3 subunit K
3770,217598_PM_at,0.000139,9.56e-06,-4.89,2.9346,-0.722,,
359,ILMN_1807042,0.00126,9.56e-06,-4.882364599999999,3.3682800000000004,-0.56,MARCKS,myristoylated alanine rich protein kinase C substrate
3771,225134_PM_at,0.000139,9.57e-06,-4.89,2.93332,-0.439,SPRYD3,SPRY domain containing 3
296,212253_x_at,0.00176,9.58e-06,5.5134193,3.55394111,2.29704815,DST,dystonin
2785,202347_s_at,0.000188,9.59e-06,-4.78,3.142761,-0.325,UBE2K,ubiquitin conjugating enzyme E2 K
685,219980_at,0.00031099999999999997,9.59e-06,-5.109872,3.3756093000000003,-0.8372497999999999,ABHD18,abhydrolase domain containing 18
686,34846_at,0.00031099999999999997,9.6e-06,-5.109304,3.3739109,-0.9386019,CAMK2B,calcium/calmodulin dependent protein kinase II beta
2786,211537_x_at,0.000188,9.6e-06,4.78,3.142212,0.40299999999999997,MAP3K7,mitogen-activated protein kinase kinase kinase 7
3772,231189_PM_at,0.000139,9.61e-06,-4.89,2.92938,-0.325,LINC01126,long intergenic non-protein coding RNA 1126
3773,221571_PM_at,0.000139,9.61e-06,4.89,2.92885,0.5920000000000001,TRAF3,TNF receptor associated factor 3
3774,214730_PM_s_at,0.000139,9.62e-06,4.89,2.92766,0.695,GLG1,golgi glycoprotein 1
2787,213336_at,0.00018899999999999999,9.62e-06,4.78,3.139776,0.337,BAZ1B,bromodomain adjacent to zinc finger domain 1B
3775,201499_PM_s_at,0.00014,9.64e-06,-4.89,2.9260900000000003,-0.301,USP7,ubiquitin specific peptidase 7
3776,239845_PM_at,0.00014,9.65e-06,4.89,2.92486,0.774,,
3777,214335_PM_at,0.00014,9.69e-06,-4.89,2.92055,-0.41100000000000003,RPL18,ribosomal protein L18
2788,204391_x_at,0.00018999999999999998,9.69e-06,4.78,3.133629,0.35700000000000004,TRIM24,tripartite motif containing 24
2789,211178_s_at,0.00018999999999999998,9.69e-06,-4.78,3.133612,-0.442,PSTPIP1,proline-serine-threonine phosphatase interacting protein 1
3778,225141_PM_at,0.00014,9.7e-06,4.89,2.92043,0.581,ESRP2///NFATC3,epithelial splicing regulatory protein 2///nuclear factor of activated T-cells 3
2790,226883_at,0.00018999999999999998,9.71e-06,4.78,3.131636,0.365,KLHL11,kelch like family member 11
2791,1560797_s_at,0.00018999999999999998,9.71e-06,-4.78,3.131613,-0.48200000000000004,LOC101927830///TMLHE-AS1,uncharacterized LOC101927830///TMLHE antisense RNA 1
2792,219763_at,0.00018999999999999998,9.72e-06,-4.78,3.130389,-0.376,DENND1A,DENN domain containing 1A
297,209215_at,0.0017699999999999999,9.72e-06,-5.5078669,3.54033584,-0.6475968000000001,MFSD10,major facilitator superfamily domain containing 10
2793,216449_x_at,0.00018999999999999998,9.73e-06,4.78,3.129591,0.48200000000000004,HSP90B1,heat shock protein 90 beta family member 1
299,1566549_at,0.0017699999999999999,9.73e-06,5.5074459000000004,3.53930404,0.98985684,,
298,216051_x_at,0.0017699999999999999,9.73e-06,5.5075765,3.53962423,0.77653021,PRINS,psoriasis associated non-protein coding RNA induced by stress
3779,212511_PM_at,0.00014099999999999998,9.74e-06,-4.89,2.9165099999999997,-0.695,PICALM,phosphatidylinositol binding clathrin assembly protein
3780,244695_PM_at,0.00014099999999999998,9.74e-06,4.89,2.91615,0.539,GHRLOS,ghrelin opposite strand/antisense RNA
300,205285_s_at,0.0017699999999999999,9.75e-06,-5.5065292,3.53705766,-0.9910883,FYB,FYN binding protein
360,ILMN_1800626,0.00128,9.76e-06,4.8766337,3.349382,0.48700000000000004,SESN1,sestrin 1
2794,223077_at,0.00019099999999999998,9.76e-06,4.78,3.1266849999999997,0.35,TMOD3,tropomodulin 3
3781,214672_PM_at,0.00014099999999999998,9.76e-06,4.89,2.9140099999999998,0.688,TTLL5,tubulin tyrosine ligase like 5
2795,203511_s_at,0.00019099999999999998,9.77e-06,-4.78,3.12569,-0.26899999999999996,TRAPPC3,trafficking protein particle complex 3
3782,214496_PM_x_at,0.00014099999999999998,9.78e-06,4.88,2.91248,0.39299999999999996,KAT6B,lysine acetyltransferase 6B
361,ILMN_3248707,0.00128,9.78e-06,-4.8760655,3.3475089999999996,-0.494,KCNQ1OT1,KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)
2796,222909_s_at,0.00019099999999999998,9.79e-06,4.77,3.1232860000000002,0.45,BAG4,BCL2 associated athanogene 4
3783,232744_PM_x_at,0.00014199999999999998,9.79e-06,4.88,2.91107,0.652,,
3784,215955_PM_x_at,0.00014199999999999998,9.8e-06,4.88,2.90975,0.601,ARHGAP26,Rho GTPase activating protein 26
687,208886_at,0.000317,9.8e-06,5.1027830000000005,3.3544002,1.2070533,H1F0,H1 histone family member 0
3786,209267_PM_s_at,0.00014199999999999998,9.81e-06,4.88,2.9093400000000003,0.519,SLC39A8,solute carrier family 39 member 8
2797,236478_at,0.000192,9.81e-06,-4.77,3.121047,-0.22399999999999998,IFNAR1,interferon alpha and beta receptor subunit 1
3785,201305_PM_x_at,0.00014199999999999998,9.81e-06,4.88,2.9094599999999997,0.495,ANP32B,acidic nuclear phosphoprotein 32 family member B
2798,211928_at,0.000192,9.82e-06,4.77,3.120473,0.389,DYNC1H1,dynein cytoplasmic 1 heavy chain 1
301,224574_at,0.0017800000000000001,9.84e-06,-5.503090599999999,3.52863041,-0.72189779,RNASEK-C17orf49///C17orf49,RNASEK-C17orf49 readthrough///chromosome 17 open reading frame 49
688,221900_at,0.00031800000000000003,9.84e-06,5.101463,3.3504529,1.8043221999999999,COL8A2,collagen type VIII alpha 2 chain
3787,1553992_PM_s_at,0.00014199999999999998,9.85e-06,-4.88,2.90467,-0.5770000000000001,NBR2,neighbor of BRCA1 gene 2 (non-protein coding)
3788,230925_PM_at,0.00014199999999999998,9.86e-06,-4.88,2.9043,-0.7170000000000001,APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein
3789,201566_PM_x_at,0.00014199999999999998,9.87e-06,4.88,2.90365,0.643,ID2,"inhibitor of DNA binding 2, HLH protein"
3790,233428_PM_at,0.000143,9.87e-06,4.88,2.9027700000000003,0.561,,
362,ILMN_1716815,0.0012900000000000001,9.87e-06,-4.8732742,3.338307,-1.04,CEACAM1,carcinoembryonic antigen related cell adhesion molecule 1
689,213815_x_at,0.000319,9.88e-06,-5.100091,3.346349,-0.8726976999999999,CACTIN,"cactin, spliceosome C complex subunit"
3791,227037_PM_at,0.000143,9.88e-06,-4.88,2.90239,-0.502,PLD6,phospholipase D family member 6
302,200733_s_at,0.0017800000000000001,9.89e-06,-5.501254900000001,3.52413114,-1.09139108,PTP4A1,"protein tyrosine phosphatase type IVA, member 1"
3792,203893_PM_at,0.000143,9.9e-06,4.88,2.90067,0.436,TAF9,TATA-box binding protein associated factor 9
690,219005_at,0.000319,9.9e-06,-5.099578,3.3448152,-1.8041305,TMEM59L,transmembrane protein 59 like
2799,205644_s_at,0.000193,9.9e-06,-4.77,3.112289,-1.15,SNRPG,small nuclear ribonucleoprotein polypeptide G
363,ILMN_1789535,0.0012900000000000001,9.9e-06,-4.8724904,3.335724,-0.42700000000000005,DHDDS,dehydrodolichyl diphosphate synthase subunit
691,220480_at,0.000319,9.91e-06,-5.099226,3.3437602999999996,-1.2502638000000001,HAND2,heart and neural crest derivatives expressed 2
692,216081_at,0.000319,9.93e-06,-5.09861,3.341917,-1.0205299,LAMA4,laminin subunit alpha 4
2800,200927_s_at,0.000194,9.93e-06,4.77,3.109824,0.345,RAB14,"RAB14, member RAS oncogene family"
2801,223507_at,0.000194,9.93e-06,4.77,3.10953,0.326,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit
693,209108_at,0.000319,9.95e-06,-5.097841000000001,3.3396177000000002,-1.1195833,TSPAN6,tetraspanin 6
3793,224111_PM_x_at,0.000144,9.95e-06,-4.88,2.89493,-0.40399999999999997,KLF16,Kruppel like factor 16
22,209417_s_at,0.0096512,9.96e-06,-4.7712816,3.17212,-1.07498116,IFI35,interferon induced protein 35
3794,207594_PM_s_at,0.000144,9.96e-06,-4.88,2.89455,-0.659,SYNJ1,synaptojanin 1
694,203874_s_at,0.000319,9.96e-06,-5.097696,3.3391846,-1.2534563,SMARCA1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
364,ILMN_1801043,0.0012900000000000001,9.98e-06,-4.870145900000001,3.3279980000000005,-0.629,GSN,gelsolin
3795,208200_PM_at,0.000144,9.99e-06,-4.88,2.8915,-0.863,IL1A,interleukin 1 alpha
2802,220134_x_at,0.000195,9.99e-06,-4.77,3.1044709999999998,-0.281,EVA1B,eva-1 homolog B
303,201247_at,0.0018,1e-05,-5.4959992,3.51124837,-1.18380048,SREBF2,sterol regulatory element binding transcription factor 2
696,204333_s_at,0.00032,1e-05,-5.095807,3.3335343999999996,-0.6833680999999999,AGA,aspartylglucosaminidase
695,205557_at,0.00032,1e-05,5.096335,3.3351141,2.5225814,LOC149684///BPI,uncharacterized LOC149684///bactericidal/permeability-increasing protein
3797,218502_PM_s_at,0.000145,1e-05,4.88,2.8864,0.6459999999999999,TRPS1,transcriptional repressor GATA binding 1
3796,212550_PM_at,0.000144,1e-05,-4.88,2.88988,-0.59,STAT5B,signal transducer and activator of transcription 5B
2803,228096_at,0.000195,1e-05,4.77,3.1017580000000002,0.3,MINOS1,mitochondrial inner membrane organizing system 1
2806,209912_s_at,0.000197,1.01e-05,-4.77,3.094256,-0.345,MIR4656///AP5Z1,microRNA 4656///adaptor related protein complex 5 zeta 1 subunit
2805,221381_s_at,0.000196,1.01e-05,4.77,3.0958740000000002,0.302,MORF4L1,mortality factor 4 like 1
2804,210582_s_at,0.000196,1.01e-05,-4.77,3.097904,-0.5,LIMK2,LIM domain kinase 2
304,208791_at,0.0018100000000000002,1.01e-05,-5.4929315999999995,3.50372828,-3.83796422,CLU,clusterin
3798,1565886_PM_at,0.000146,1.01e-05,4.87,2.87811,0.8390000000000001,,
698,214921_at,0.000323,1.01e-05,-5.09194,3.3219684000000003,-1.8721122,KCNMA1,potassium calcium-activated channel subfamily M alpha 1
2807,229211_at,0.000197,1.01e-05,-4.77,3.092875,-0.263,DUSP28,dual specificity phosphatase 28
697,207243_s_at,0.000323,1.01e-05,5.092887,3.3248028,0.4897974,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
365,ILMN_1659437,0.0013,1.01e-05,-4.8676072999999995,3.319633,-0.331,TXNDC17,thioredoxin domain containing 17
699,218568_at,0.000323,1.0199999999999999e-05,-5.091202,3.3197623,-0.6967974,AGK,acylglycerol kinase
700,220018_at,0.000323,1.0199999999999999e-05,-5.091093,3.3194362999999996,-0.8681523000000001,CBLL1,Cbl proto-oncogene like 1
701,221461_at,0.000323,1.0199999999999999e-05,-5.090266000000001,3.3169642,-1.2636194,TAS2R9,taste 2 receptor member 9
702,211744_s_at,0.000324,1.0199999999999999e-05,5.089226999999999,3.3138568,0.743776,CD58,CD58 molecule
2809,1553917_at,0.000198,1.0199999999999999e-05,4.76,3.086538,0.33799999999999997,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing"
2808,209207_s_at,0.000198,1.0199999999999999e-05,-4.77,3.087941,-0.33,LOC102724364///LOC100996517///SEC22B,"vesicle-trafficking protein SEC22b-like///vesicle-trafficking protein SEC22b///SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)"
2810,225116_at,0.000198,1.0199999999999999e-05,4.76,3.0853080000000004,0.495,HIPK2,homeodomain interacting protein kinase 2
367,ILMN_2395474,0.00131,1.0199999999999999e-05,4.8638093,3.307122,0.32,REV1,"REV1, DNA directed polymerase"
368,ILMN_3236463,0.00131,1.0199999999999999e-05,-4.8633426,3.3055849999999998,-0.5589999999999999,,
3799,205176_PM_s_at,0.000146,1.0199999999999999e-05,4.87,2.87526,0.799,ITGB3BP,integrin subunit beta 3 binding protein
3800,201267_PM_s_at,0.000147,1.0199999999999999e-05,4.87,2.87236,0.495,PSMC3,"proteasome 26S subunit, ATPase 3"
3801,223799_PM_at,0.000147,1.0199999999999999e-05,-4.87,2.86978,-0.386,MSANTD4,Myb/SANT DNA binding domain containing 4 with coiled-coils
3802,218793_PM_s_at,0.000147,1.0199999999999999e-05,4.87,2.86662,0.723,SCML1,sex comb on midleg-like 1 (Drosophila)
2811,1561872_at,0.000198,1.0199999999999999e-05,4.76,3.0850459999999997,0.531,,
2812,219745_at,0.000199,1.0199999999999999e-05,-4.76,3.082867,-0.373,MFSD13A,major facilitator superfamily domain containing 13A
2813,208852_s_at,0.000199,1.0199999999999999e-05,4.76,3.082018,0.44799999999999995,CANX,calnexin
366,ILMN_1792825,0.00131,1.0199999999999999e-05,4.8650332,3.311153,0.376,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2
706,206708_at,0.00032599999999999996,1.0300000000000001e-05,-5.085673,3.3032306000000005,-0.7436338,FOXN2,forkhead box N2
3809,238831_PM_at,0.000148,1.0300000000000001e-05,4.87,2.85866,1.04,TMEM33,transmembrane protein 33
3806,219551_PM_at,0.000148,1.0300000000000001e-05,4.87,2.8626099999999997,0.6970000000000001,EAF2,ELL associated factor 2
704,205952_at,0.00032599999999999996,1.0300000000000001e-05,-5.086522,3.3057693999999995,-2.149627,KCNK3,potassium two pore domain channel subfamily K member 3
703,207684_at,0.000325,1.0300000000000001e-05,-5.088118,3.3105404999999997,-1.1118081,TBX6,T-box 6
3805,214149_PM_s_at,0.000148,1.0300000000000001e-05,-4.87,2.86265,-0.23,ATP6V0E1,ATPase H+ transporting V0 subunit e1
3804,1563340_PM_at,0.000147,1.0300000000000001e-05,-4.87,2.8658,-0.391,,
3803,240928_PM_at,0.000147,1.0300000000000001e-05,4.87,2.86643,0.586,FCF1,FCF1 rRNA-processing protein
705,205030_at,0.00032599999999999996,1.0300000000000001e-05,-5.086416000000001,3.3054517999999997,-1.1808351000000001,FABP7,fatty acid binding protein 7
305,AFFX-HUMISGF3A/M97935_5_at,0.0018399999999999998,1.0300000000000001e-05,-5.4845195,3.48310302,-0.99805334,STAT1,signal transducer and activator of transcription 1
3807,220604_PM_x_at,0.000148,1.0300000000000001e-05,-4.87,2.86013,-0.358,FTCD,formimidoyltransferase cyclodeaminase
2814,1555976_s_at,0.000199,1.0300000000000001e-05,-4.76,3.078008,-0.467,MYL12A,myosin light chain 12A
2815,210338_s_at,0.00020099999999999998,1.0300000000000001e-05,4.76,3.072115,0.465,SNORD14D///SNORD14C///HSPA8,"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8"
369,ILMN_1748432,0.00131,1.0300000000000001e-05,4.8625068,3.302832,0.426,ZNF525,zinc finger protein 525
3808,210570_PM_x_at,0.000148,1.0300000000000001e-05,4.87,2.8595200000000003,0.747,MAPK9,mitogen-activated protein kinase 9
2816,219047_s_at,0.00020099999999999998,1.04e-05,-4.76,3.0698,-0.276,ZNF668,zinc finger protein 668
2817,238560_at,0.000202,1.04e-05,-4.76,3.065835,-0.311,CALCOCO2,calcium binding and coiled-coil domain 2
707,210349_at,0.00032599999999999996,1.04e-05,-5.08504,3.3013369,-0.8581033000000001,CAMK4,calcium/calmodulin dependent protein kinase IV
2818,233167_at,0.000202,1.04e-05,-4.76,3.0656950000000003,-0.499,SELO,selenoprotein O
708,216600_x_at,0.00032599999999999996,1.04e-05,-5.084332,3.2992205,-0.9203821,ALDOB,"aldolase, fructose-bisphosphate B"
709,202703_at,0.000327,1.04e-05,-5.083312,3.2961696000000003,-0.5214755,DUSP11,dual specificity phosphatase 11
306,204997_at,0.00185,1.04e-05,5.4819005,3.47668046,1.02662427,GPD1,glycerol-3-phosphate dehydrogenase 1
3817,226893_PM_at,0.00015,1.04e-05,4.87,2.84908,0.514,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
3810,230200_PM_at,0.000149,1.04e-05,-4.87,2.8568,-0.581,NSUN6,NOP2/Sun RNA methyltransferase family member 6
3811,1568658_PM_at,0.000149,1.04e-05,4.87,2.8559200000000002,0.7909999999999999,C2orf74,chromosome 2 open reading frame 74
3812,218302_PM_at,0.000149,1.04e-05,4.87,2.8553599999999997,0.486,PSENEN,presenilin enhancer gamma-secretase subunit
3813,229980_PM_s_at,0.000149,1.04e-05,4.87,2.8542400000000003,0.6579999999999999,SNX5,sorting nexin 5
2819,224983_at,0.000202,1.04e-05,-4.76,3.063185,-0.491,SCARB2,scavenger receptor class B member 2
3815,213483_PM_at,0.000149,1.04e-05,4.87,2.85079,0.552,PPWD1,peptidylprolyl isomerase domain and WD repeat containing 1
3816,223302_PM_s_at,0.000149,1.04e-05,4.87,2.85069,0.491,ZNF655,zinc finger protein 655
3814,213047_PM_x_at,0.000149,1.04e-05,4.87,2.8508400000000003,0.745,SET,SET nuclear proto-oncogene
308,213104_at,0.00186,1.05e-05,-5.4784003,3.46809662,-0.67119053,TSR3,"TSR3, acp transferase ribosome maturation factor"
307,225471_s_at,0.00186,1.05e-05,-5.4792997,3.47030225,-0.61818662,AKT2,AKT serine/threonine kinase 2
711,209724_s_at,0.00032900000000000003,1.05e-05,-5.080711,3.2883937000000008,-0.6248145,ZBTB14,zinc finger and BTB domain containing 14
2823,228970_at,0.000204,1.05e-05,-4.76,3.0545880000000003,-0.845,ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand
2822,1560112_at,0.00020299999999999997,1.05e-05,-4.76,3.057512,-0.33399999999999996,WDFY2,WD repeat and FYVE domain containing 2
2821,219984_s_at,0.00020299999999999997,1.05e-05,-4.76,3.059358,-0.48700000000000004,HRASLS,HRAS like suppressor
2820,200658_s_at,0.00020299999999999997,1.05e-05,-4.76,3.059911,-0.409,PHB,prohibitin
2824,228161_at,0.000204,1.05e-05,-4.76,3.0537919999999996,-0.287,RAB32,"RAB32, member RAS oncogene family"
710,207972_at,0.000328,1.05e-05,-5.0819220000000005,3.2920142999999995,-1.1401923999999999,GLRA1,glycine receptor alpha 1
713,207152_at,0.00032900000000000003,1.05e-05,-5.079747,3.2855142,-1.2034778,NTRK2,neurotrophic receptor tyrosine kinase 2
3818,226195_PM_at,0.00015,1.05e-05,4.87,2.84753,0.491,IFT43,intraflagellar transport 43
3819,220240_PM_s_at,0.00015,1.05e-05,4.87,2.84695,0.7609999999999999,TMCO3,transmembrane and coiled-coil domains 3
3820,204402_PM_at,0.00015,1.05e-05,-4.86,2.8445400000000003,-0.29,RHBDD3,rhomboid domain containing 3
3821,1559436_PM_x_at,0.00015,1.05e-05,-4.86,2.84355,-0.617,,
3822,226235_PM_at,0.00015,1.05e-05,4.86,2.84267,0.5760000000000001,LINC00667,long intergenic non-protein coding RNA 667
3823,226310_PM_at,0.000151,1.05e-05,4.86,2.84091,0.8109999999999999,RICTOR,RPTOR independent companion of MTOR complex 2
3824,211900_PM_x_at,0.000151,1.05e-05,4.86,2.83934,0.39,CD6,CD6 molecule
712,210423_s_at,0.00032900000000000003,1.05e-05,5.079763,3.285561,1.0634086999999999,SLC11A1,solute carrier family 11 member 1
3825,1563181_PM_a_at,0.000151,1.06e-05,-4.86,2.83767,-0.34700000000000003,,
3830,1565537_PM_at,0.000152,1.06e-05,-4.86,2.82965,-0.484,NKX1-1,NK1 homeobox 1
